# dataset: phone-formats
# source: libphonenumber
# authority: The libphonenumber Authors
# origin: resources/PhoneNumberMetadata.xml numberFormat rows, nationalPrefixFormattingRule substituted
# pin: v9.0.35
# published: 2026-07-26
# licence: Apache-2.0
# licence-url: https://www.apache.org/licenses/LICENSE-2.0
# licence-note: the metadata file carries the Apache-2.0 notice in its own header
# licence-verified: 2026-07-26
# cadence: roughly fortnightly
# compiled-in: true
# columns: territory,callingCode,order,leadingDigits,groups,national,international
BO	591	0	[23]|4[46]|50	1 7	$1 $2	$1 $2
BO	591	1	[5-7]	8	$1	$1
BO	591	2	8	3 2 4	$1 $2 $3	$1 $2 $3
BR	55	0	1(?:1[25-8]|2[357-9]|3[02-68]|4[12568]|5|6[0-8]|8[015]|9[0-47-9])|321|610	3-6	$1	NA
BR	55	1	300|4(?:0[02]|37|86)	4 4	$1-$2	$1-$2
BR	55	2	[2-57]	4 4	$1-$2	NA
BR	55	3	(?:[358]|90)0	3 2-3 4	0$1 $2 $3	$1 $2 $3
BR	55	4	9	5 4	$1-$2	NA
BR	55	5	(?:[14689][1-9]|2[12478]|3[1-578]|5[13-5]|7[13-579])[2-57]	2 4 4	($1) $2-$3	$1 $2-$3
BR	55	6	[16][1-9]|[2-57-9]	2 5 4	($1) $2-$3	$1 $2-$3
BT	975	0	[2-7]	3 3	$1 $2	NA
BT	975	1	[2-6]|7[246]|8[2-4]	1 3 3	$1 $2 $3	$1 $2 $3
BT	975	2	1[67]|[78]	2 2 2 2	$1 $2 $3 $4	$1 $2 $3 $4
BW	267	0	90	2 5	$1 $2	$1 $2
BW	267	1	[24-6]|3[15-9]	3 4	$1 $2	$1 $2
BW	267	2	[37]	2 3 3	$1 $2 $3	$1 $2 $3
BW	267	3	0	4 3 3	$1 $2 $3	$1 $2 $3
BW	267	4	8	3 4 3	$1 $2 $3	$1 $2 $3
BY	375	0	800	3 3	8 $1 $2	$1 $2
BY	375	1	800	3 2 2-4	8 $1 $2 $3	$1 $2 $3
BY	375	2	1(?:5[169]|6[3-5]|7[179])|2(?:1[35]|2[34]|3[3-5])	4 2 3	8 0$1 $2-$3	$1 $2-$3
BY	375	3	1(?:[56]|7[467])|2[1-3]	3 2 2 2	8 0$1 $2-$3-$4	$1 $2-$3-$4
BY	375	4	[1-4]	2 3 2 2	8 0$1 $2-$3-$4	$1 $2-$3-$4
BY	375	5	[89]	3 3-4 4	8 $1 $2 $3	$1 $2 $3
BZ	501	0	[2-8]	3 4	$1-$2	$1-$2
BZ	501	1	0	1 3 4 3	$1-$2-$3-$4	$1-$2-$3-$4
CD	243	0	88	2 2 3	0$1 $2 $3	$1 $2 $3
CD	243	1	[1-6]	2 5	0$1 $2	$1 $2
CD	243	2	2	2 2 4	0$1 $2 $3	$1 $2 $3
CD	243	3	1	2 3 4	0$1 $2 $3	$1 $2 $3
CD	243	4	[89]	3 3 3	0$1 $2 $3	$1 $2 $3
CD	243	5	5	2 2 3 3	0$1 $2 $3 $4	$1 $2 $3 $4
CF	236	0	[26-8]	2 2 2 2	$1 $2 $3 $4	$1 $2 $3 $4
CG	242	0	8	1 4 4	$1 $2 $3	$1 $2 $3
CG	242	1	[02]	2 3 4	$1 $2 $3	$1 $2 $3
CH	41	0	8[047]|90	3 3 3	0$1 $2 $3	$1 $2 $3
CH	41	1	[2-79]|81	2 3 2 2	0$1 $2 $3 $4	$1 $2 $3 $4
CH	41	2	8	3 2 3 2 2	0$1 $2 $3 $4 $5	$1 $2 $3 $4 $5
CI	225	0	2	2 2 1 5	$1 $2 $3 $4	$1 $2 $3 $4
CI	225	1	0	2 2 2 4	$1 $2 $3 $4	$1 $2 $3 $4
CK	682	0	[2-578]	2 3	$1 $2	$1 $2
CL	56	0	1(?:[03-589]|21)|[29]0|78	4	$1	NA
CL	56	1	219	5 4	($1) $2	$1 $2
CL	56	2	60|809	3 3 3	$1 $2 $3	$1 $2 $3
CL	56	3	44	2 3 4	$1 $2 $3	$1 $2 $3
CL	56	4	2[1-36]	1 4 4	($1) $2 $3	$1 $2 $3
CL	56	5	9(?:10|[2-9])	1 4 4	$1 $2 $3	$1 $2 $3
CL	56	6	3[2-5]|[47]|5[1-3578]|6[13-57]|8(?:0[1-8]|[1-9])	2 3 4	($1) $2 $3	$1 $2 $3
CL	56	7	60|8	3 3 3-4	$1 $2 $3	$1 $2 $3
CL	56	8	1	4 3 4	$1 $2 $3	$1 $2 $3
CL	56	9	60	3 3 2 3	$1 $2 $3 $4	$1 $2 $3 $4
CM	237	0	88	2 2 2 2	$1 $2 $3 $4	$1 $2 $3 $4
CM	237	1	[26]|88	1 2 2 2 2	$1 $2 $3 $4 $5	$1 $2 $3 $4 $5
CN	86	0	1(?:00|2[13])|9[56]	5-6	$1	NA
CN	86	1	1(?:0|23)|781|[1-9]12	5-6	$1	NA
CN	86	10	9	3 7-8	$1 $2	$1 $2
CN	86	11	80	4 3 4	0$1 $2 $3	$1 $2 $3
CN	86	12	[3-578]	3 4 4	0$1 $2 $3	$1 $2 $3
CN	86	13	1[3-9]	3 4 4	$1 $2 $3	$1 $2 $3
CN	86	14	[12]	2 3 3 4	0$1 $2 $3 $4	$1 $2 $3 $4
