# dataset: phone-mobile
# source: libphonenumber
# authority: The libphonenumber Authors
# origin: resources/PhoneNumberMetadata.xml
# pin: v9.0.35
# published: 2026-07-26
# licence: Apache-2.0
# licence-url: https://www.apache.org/licenses/LICENSE-2.0
# licence-note: the metadata file carries the Apache-2.0 notice in its own header
# licence-verified: 2026-07-26
# cadence: roughly fortnightly
# compiled-in: true
# columns: territory,callingCode,lengths,pattern
MV	960	7	(?:46[46]|[79]\d\d)\d{4}
MW	265	9	111\d{6}|(?:2[12]|31|77|[89][89])\d{7}
MX	52	10	(?:2(?:2\d|3[1-35-8]|4[13-9]|7[1-689]|8[1-578]|9[467])|3(?:1[1-79]|[2458][1-9]|3\d|7[1-8]|9[1-5])|4(?:1[1-57-9]|[267][1-9]|3[1-8]|[45]\d|8[1-35-9]|9[2-689])|5(?:[56]\d|88|9[1-79])|6(?:1[2-68]|[2-4][1-9]|5[1-36-9]|6[0-57-9]|7[1-7]|8[67]|9[4-8])|7(?:[1346][1-9]|[27]\d|5[13-9]|8[1-69]|9[17])|8(?:1\d|2[13-689]|3[1-6]|4[124-6]|6[1246-9]|7[0-378]|9[12479])|9(?:1[346-9]|2[1-4]|3[2-46-8]|5[1348]|[69]\d|7[12]|8[1-8]))\d{7}
MY	60	10 9	1(?:(?:1888[689]|4400|8(?:47|8[27])[0-4])\d{4}|9\d{7,8})|1(?:0(?:[23568]\d|4[0-6]|7[016-9]|9[0-8])|1(?:[1-5]\d\d|6(?:0[5-9]|[1-9]\d)|7(?:[0-4]\d|5[0-79]|6[02-4]|8[02-5]))|(?:[26]\d|[37][1-9]|4[235-9])\d|5(?:31|9\d\d)|8(?:1[23]|[236]\d|4[06]|5(?:46|[7-9])|7[016-9]|8[01]|9[0-8]))\d{5}
MZ	258	9	8(?:[2-79]\d|80)\d{6}
NA	264	9	(?:60|8[1245])\d{7}
NC	687	6	(?:[579]\d|8[0-79])\d{4}
NE	227	8	(?:23|7[0467]|[89]\d)\d{6}
NF	672	6	(?:14|3[58])\d{4}
NG	234	10	(?:702[0-24-9]|819[01])\d{6}|(?:7(?:0[13-9]|[12]\d)|8(?:0[1-9]|1[0-8])|9(?:0[1-9]|1[1-6]))\d{7}
NI	505	8	(?:5(?:5[0-7]|[78]\d)|6(?:20|3[035]|4[045]|5[05]|77|8[1-9]|9[059])|(?:7[5-8]|8\d)\d)\d{5}
NL	31	11 9	(?:6[1-58]|970\d)\d{7}
NO	47	8	[49]\d{7}
NP	977	10	9(?:00|6[0-3]|7[0-24-6]|8[0-24-68])\d{7}
NR	674	7	(?:222|55[3-9]|666|777|8\d\d|999)\d{4}
NU	683	4 7	(?:[56]|888[1-9])\d{3}
NZ	64	[8-10]	2(?:[0-27-9]\d|6)\d{6,7}|2(?:1\d|75)\d{5}
OM	968	8	(?:1505|90[1-9]\d)\d{4}|(?:7[124-9]|9[1-9])\d{6}
PA	507	7 8	(?:1[16]1|21[89]|6\d{3}|8(?:1[01]|7[23]))\d{4}
PE	51	9	9\d{8}
PF	689	8	8[7-9]\d{6}
PG	675	8	(?:7\d|8[1-48])\d{6}
PH	63	10	(?:8(?:1[37]|9[5-8])|9(?:0[5-9]|1[0-24-9]|[235-7]\d|4[2-9]|8[135-9]|9[1-9]))\d{7}
PK	92	10	3(?:[0-247]\d|3[0-79]|55|64)\d{7}
